Entrez_ID	Ensemble_ID_human	Gene_symbol_human	HGNC Gene Symbol	Uniprot Accession
359948	ENSG00000168264	IRF2BP2	IRF2BP2	Q7Z5L9
3735	ENSG00000065427	KARS	KARS	Q15046
7994	ENSG00000083168	KAT6A	KAT6A	Q92794
3750	ENSG00000102057	KCND1	KCND1	Q9NSA2
90134	ENSG00000184611	KCNH7	KCNH7	Q9NS40
3778	ENSG00000156113	KCNMA1	KCNMA1	Q12791
9682	ENSG00000066135	KDM4A	KDM4A	O75164
23135	ENSG00000132510	KDM6B	KDM6B	O15054
340533	ENSG00000050030	KIAA2022	NEXMIF	Q5QGS0
26249	ENSG00000146021	KLHL3	KLHL3	Q9UH77
4297	ENSG00000118058	KMT2A	KMT2A	Q03164
55904	ENSG00000005483	KMT2E	KMT2E	Q8IZD2
51111	ENSG00000110066	KMT5B	KMT5B	Q4FZB7
9113	ENSG00000131023	LATS1	LATS1	O95835
3949	ENSG00000130164	LDLR	LDLR	P01130
137994	ENSG00000165046	LETM2	LETM2	Q2VYF4
5641	ENSG00000100600	LGMN	LGMN	Q99538
84894	ENSG00000169783	LINGO1	LINGO1	Q96FE5
4004	ENSG00000166407	LMO1	LMO1	P25800
4012	ENSG00000113441	LNPEP	LNPEP	Q9UIQ6
78999	ENSG00000173621	LRFN4	LRFN4	Q6PJG9
84946	ENSG00000135521	LTV1	LTV1	Q96GA3
9863	ENSG00000187391	MAGI2	MAGI2	Q86UL8
10905	ENSG00000198162	MAN1A2	MAN1A2	O60476
10746	ENSG00000169967	MAP3K2	MAP3K2	Q9Y2U5
4137	ENSG00000186868	MAPT	MAPT	P10636
4204	ENSG00000169057	MECP2	MECP2	P51608
23389	ENSG00000123066	MED13L	MED13L	Q71F56
84545	ENSG00000055950	MRPL43	MRPL43	Q8N983
4482	ENSG00000175806	MSRA	MSRA	Q9UJ68
9110	ENSG00000108389	MTMR4	MTMR4	Q9NYA4
92154	ENSG00000132613	MTSS1L	MTSS1L	Q765P7
4644	ENSG00000197535	MYO5A	MYO5A	Q9Y4I1
4650	ENSG00000099331	MYO9B	MYO9B	Q13459
23040	ENSG00000186487	MYT1L	MYT1L	Q9UL68
4738	ENSG00000129559	NEDD8	NEDD8	Q15843
4753	ENSG00000184613	NELL2	NELL2	Q99435
25791	ENSG00000066248	NGEF	NGEF	Q8N5V2
23530	ENSG00000112992	NNT	NNT	Q13423
4842	ENSG00000089250	NOS1	NOS1	P29475
4862	ENSG00000170485	NPAS2	NPAS2	Q99743
4884	ENSG00000171246	NPTX1	NPTX1	Q15818
4900	ENSG00000154146	NRGN	NRGN	Q92686
51299	ENSG00000124785	NRN1	NRN1	Q9NPD7
80023	ENSG00000125841	NRSN2	NRSN2	Q9GZP1
64943	ENSG00000168268	NT5DC2	NT5DC2	Q9H857
27328	ENSG00000102290	PCDH11X	PCDH11X	Q9BZA7
5101	ENSG00000184226	PCDH9	PCDH9	Q9HC56
5136	ENSG00000115252	PDE1A	PDE1A	P54750
5150	ENSG00000205268	PDE7A	PDE7A	Q13946
55300	ENSG00000038210	PI4K2B	PI4K2B	Q8TCG2
5496	ENSG00000115241	PPM1G	PPM1G	O15355
57580	ENSG00000124126	PREX1	PREX1	Q8TCU6
5662	ENSG00000059915	PSD	PSD	A5PKW4
139411	ENSG00000165186	PTCHD1	PTCHD1	Q96NR3
5764	ENSG00000105894	PTN	PTN	P21246
5800	ENSG00000151490	PTPRO	PTPRO	Q16827
9693	ENSG00000109756	RAPGEF2	RAPGEF2	Q9Y4G8
387496	ENSG00000122035	RASL11A	RASL11A	Q6T310
125950	ENSG00000161847	RAVER1	RAVER1	Q8IY67
9985	ENSG00000100918	REC8	REC8	O95072
5649	ENSG00000189056	RELN	RELN	P78509
401190	ENSG00000186479	RGS7BP	RGS7BP	Q6MZT1
388	ENSG00000143878	RHOB	RHOB	P62745
22999	ENSG00000079841	RIMS1	RIMS1	Q86UR5
6326	ENSG00000136531	SCN2A	SCN2A	Q99250
7869	ENSG00000012171	SEMA3B	SEMA3B	Q13214
29072	ENSG00000181555	SETD2	SETD2	Q9BYW2
55209	ENSG00000168137	SETD5	SETD5	Q9C0A6
85358	ENSG00000251322	SHANK3	SHANK3	Q9BYB0
348235	ENSG00000182628	SKA2	SKA2	Q8WVK7
83733	ENSG00000182902	SLC25A18	SLC25A18	Q9H1K4
51312	ENSG00000147454	SLC25A37	SLC25A37	Q9NYZ2
7781	ENSG00000115194	SLC30A3	SLC30A3	Q99726
6529	ENSG00000157103	SLC6A1	SLC6A1	P30531
285195	ENSG00000181804	SLC9A9	SLC9A9	Q8IVB4
53919	ENSG00000139155	SLCO1C1	SLCO1C1	Q9NYB5
51375	ENSG00000162627	SNX7	SNX7	Q9UNH6
10847	ENSG00000080603	SRCAP	SRCAP	Q6ZRS2
6432	ENSG00000115875	SRSF7	SRSF7	Q16629
8128	ENSG00000140557	ST8SIA2	ST8SIA2	Q92186
6813	ENSG00000076944	STXBP2	STXBP2	Q15833
64426	ENSG00000111707	SUDS3	SUDS3	Q9H7L9
646658	ENSG00000183379	SYNDIG1L	SYNDIG1L	A6NDD5
8831	ENSG00000197283	SYNGAP1	SYNGAP1	Q96PV0
6863	ENSG00000006128	TAC1	TAC1	P20366
6886	ENSG00000162367	TAL1	TAL1	P17542
6894	ENSG00000059588	TARBP1	TARBP1	Q13395
79718	ENSG00000177565	TBL1XR1	TBL1XR1	Q9BZK7
114795	ENSG00000139364	TMEM132B	TMEM132B	Q14DG7
80775	ENSG00000144120	TMEM177	TMEM177	Q53S58
7188	ENSG00000082512	TRAF5	TRAF5	O00463
9881	ENSG00000168016	TRANK1	TRANK1	O15050
4591	ENSG00000108395	TRIM37	TRIM37	O94972
7204	ENSG00000038382	TRIO	TRIO	O75962
80705	ENSG00000135951	TSGA10	TSGA10	Q9BZW7
51322	ENSG00000095787	WAC	WAC	Q9BTA9
55689	ENSG00000163872	YEATS2	YEATS2	Q9ULM3
9925	ENSG00000168795	ZBTB5	ZBTB5	O15062
90874	ENSG00000143067	ZNF697	ZNF697	Q5TEC3
